Month;L;M;S
3;-0,1733;13,0284;0,08263
4;-0,1733;13,3649;0,08298
5;-0,1733;13,6061;0,08325
6;-0,1733;13,7771;0,08343
7;-0,1733;13,9018;0,08352
8;-0,1733;13,9952;0,08351
9;-0,1733;14,0665;0,08342
10;-0,1733;14,1217;0,08326
11;-0,1733;14,1667;0,08305
12;-0,1733;14,2065;0,0828
13;-0,1733;14,2455;0,08254
14;-0,1733;14,2859;0,08227
15;-0,1733;14,3289;0,08202
16;-0,1733;14,3752;0,08179
17;-0,1733;14,4254;0,0816
18;-0,1733;14,4795;0,08143
19;-0,1733;14,5372;0,08131
20;-0,1733;14,5987;0,08123
21;-0,1733;14,6639;0,08118
22;-0,1733;14,7328;0,08118
23;-0,1733;14,8049;0,08121
24;-0,1733;14,8795;0,08127
25;-0,1733;14,9559;0,08136
26;-0,1733;15,0327;0,08147
27;-0,1733;15,1085;0,08161
28;-0,1733;15,1817;0,08178
29;-0,1733;15,2514;0,08196
30;-0,1733;15,3168;0,08217
31;-0,1733;15,3779;0,0824
32;-0,1733;15,4351;0,08265
33;-0,1733;15,4895;0,08292
34;-0,1733;15,5423;0,0832
35;-0,1733;15,5941;0,08351
36;-0,1733;15,6456;0,08383
37;-0,1733;15,6969;0,08416
38;-0,1733;15,7483;0,08451
39;-0,1733;15,7997;0,08487
40;-0,1733;15,8509;0,08525
41;-0,1733;15,9016;0,08563
42;-0,1733;15,9518;0,08602
43;-0,1733;16,0016;0,08642
44;-0,1733;16,0509;0,08683
45;-0,1733;16,1001;0,08723
46;-0,1733;16,1491;0,08765
47;-0,1733;16,1983;0,08806
48;-0,1733;16,2477;0,08848
49;-0,1733;16,2974;0,0889
50;-0,1733;16,3475;0,08932
51;-0,1733;16,3981;0,08974
52;-0,1733;16,449;0,09016
53;-0,1733;16,5001;0,09057
54;-0,1733;16,5514;0,09099
55;-0,1733;16,6026;0,0914
56;-0,1733;16,6534;0,09181
57;-0,1733;16,7039;0,09221
58;-0,1733;16,7539;0,09262
59;-0,1733;16,8034;0,09301
60;-0,1733;16,8526;0,09341
